prv_code;year;elected;p_code;party_name;candidate_orig;p_votes;list_pos
1;2019;0;18;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;María Gabriela Sanvicente Ortega;2526;1
1;2019;0;18;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Santos Andrés Gutiérrez Figueroa;2526;2
1;2019;0;18;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Verónica Blanco Cuende;2526;3
1;2019;0;18;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Javier Sobrin Yubero;2526;4
1;2019;1;22;EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO;Mikel Legarda Uriarte;40262;1
1;2019;0;22;EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO;Laura Pérez Borinaga;40262;2
1;2019;0;22;EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO;Ane Miren Atin Ruiz de Viñaspre;40262;3
1;2019;0;22;EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO;Jon Pérez García;40262;4
1;2019;1;29;EUSKAL HERRIA BILDU;Iñaki Ruiz de Pinedo Undiano;27453;1
1;2019;0;29;EUSKAL HERRIA BILDU;Maddi Isasi Azkarraga;27453;2
1;2019;0;29;EUSKAL HERRIA BILDU;Andoni Txasko Díaz;27453;3
1;2019;0;29;EUSKAL HERRIA BILDU;Belén Arrondo Aldasoro;27453;4
1;2019;0;55;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;Mónica Morán Ares;1152;1
1;2019;0;55;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;Francisco Rivera Pérez;1152;2
1;2019;0;55;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;Nahia Garalde Markuerkiaga;1152;3
1;2019;0;55;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;Pedro Enrique Polo Soltero;1152;4
1;2019;0;66;PARTIDO COMUNISTA DE LOS TRABAJADORES DEEUSKADI/EUSKADIKO LANGILEEN ALDERDI KOMUNISTA;Óscar García Fernández;215;1
1;2019;0;66;PARTIDO COMUNISTA DE LOS TRABAJADORES DEEUSKADI/EUSKADIKO LANGILEEN ALDERDI KOMUNISTA;Rebeca Álvarez Fernández;215;2
1;2019;0;66;PARTIDO COMUNISTA DE LOS TRABAJADORES DEEUSKADI/EUSKADIKO LANGILEEN ALDERDI KOMUNISTA;Mikel Tapia García del Valle;215;3
1;2019;0;66;PARTIDO COMUNISTA DE LOS TRABAJADORES DEEUSKADI/EUSKADIKO LANGILEEN ALDERDI KOMUNISTA;Sara Cabello Plan;215;4
1;2019;1;77;ELKARREKIN PODEMOS-UNIDAS PODEMOS;Juan Antonio López de Uralde Garmendia;28186;1
1;2019;0;77;ELKARREKIN PODEMOS-UNIDAS PODEMOS;Garbiñe Ruiz Noriega;28186;2
1;2019;0;77;ELKARREKIN PODEMOS-UNIDAS PODEMOS;Salvador González Santiago;28186;3
1;2019;0;77;ELKARREKIN PODEMOS-UNIDAS PODEMOS;María Luisa Corcuera Aguiriano;28186;4
1;2019;0;83;PARTIDO POPULAR;Mari Mar Blanco Garrido;25506;1
1;2019;0;83;PARTIDO POPULAR;Carmelo Barrio Baroja;25506;2
1;2019;0;83;PARTIDO POPULAR;Ana Isabel Salazar Aguayo;25506;3
1;2019;0;83;PARTIDO POPULAR;Aitor González González;25506;4
1;2019;1;92;PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKOEZKERRA (PSOE);María Isabel Celaá Diéguez;37488;1
